layer,ordinal,stable_id,name,target_class,family,rarity,status,existing_source,prompt
1,1,l01_bandage_roll,Bandage Roll,Active,Heal,Common,EXISTING_ITEM_SPRITE,assets/items/layer_1/bandage_roll.png,
1,2,l01_servants_tonic,Servant's Tonic,Active,MP Restore,Common,EXISTING_ITEM_SPRITE,assets/items/layer_1/servants_tonic.png,
1,3,l01_repair_thread_wax,Repair Thread and Wax,Active,Repair,Common,EXISTING_ITEM_SPRITE,assets/items/layer_1/repair_thread_and_wax.png,
1,4,l01_wax_sealed_needle,Wax-Sealed Needle,Active,Status Cleanse,Uncommon,EXISTING_ITEM_SPRITE,assets/items/layer_1/wax_sealed_needle.png,
1,5,l01_warm_wine_flask,Warm Wine Flask,Active,HP + Resolve,Uncommon,EXISTING_ITEM_SPRITE,assets/items/layer_1/warm_wine_flask.png,
1,6,l01_red_wax_ampoule,Red-Wax Ampoule,Active,Offensive Throwable,Uncommon,EXISTING_ITEM_SPRITE,assets/items/layer_1/red_wax_ampoule.png,
1,7,l01_kitchen_knife,Kitchen Knife,Active,Grapple Escape,Rare,EXISTING_ITEM_SPRITE,assets/items/layer_1/kitchen_knife.png,
1,8,l01_polished_serving_tray,Polished Serving Tray,Active,Defense Utility,Uncommon,EXISTING_ITEM_SPRITE,assets/items/layer_1/polished_serving_tray.png,
1,9,l01_smelling_salts,Smelling Salts,Active,Revival / Control,Rare,EXISTING_ITEM_SPRITE,assets/items/layer_1/smelling_salts.png,
1,10,l01_chapel_rosary,Chapel Rosary,Memento,Enemy-Specific Counter,Uncommon,EXISTING_ITEM_SPRITE,assets/items/layer_1/chapel_rosary.png,
1,11,l01_hollow_livery_pin,Hollow Livery Pin,Memento,Enemy-Specific Control,Rare,EXISTING_ITEM_SPRITE,assets/items/layer_1/hollow_livery_pin.png,
1,12,l01_courtesy_collar,Courtesy Collar,Memento,Grapple Prevention,Rare,EXISTING_ITEM_SPRITE,assets/items/layer_1/courtesy_collar.png,
1,13,l01_ledger_seal,Ledger Seal,Key,Progression / Bureaucracy,Unique,EXISTING_ITEM_SPRITE,assets/items/layer_1/ledger_seal.png,
1,14,l01_torn_cuff,Torn Cuff,Story,Narrative Clue,Unique,EXISTING_ITEM_SPRITE,assets/items/layer_1/torn_cuff.png,
1,15,shared_rusty_key,Rusty Key,Key,Generated Progression,Unique,EXISTING_ITEM_SPRITE,assets/items/keys/rusty_key.png,
1,16,mat_l01_red_wax,Red Wax,Material,Crafting Material,Common Material,GENERATE,,"Use case: stylized-concept
Asset type: production-ready dark-fantasy roguelite item sprite source master
Primary request: create the canonical Layer 1 item ""Red Wax"".
Input images: Images 1–4 are the game's existing item-sprite references for rendering style, tactile material detail, restrained lighting, silhouette clarity, framing, and relative object scale. They are references only; do not copy their objects.
Subject: a compact representative crafting sample of ""Red Wax"". Visual identity context only: Material-pouch resource for Layer 1 crafting, maintenance, and later Refuge recipes.
Layer material direction: lower-castle service decay: worn linen, blackened iron, dark wood, old brass, red sealing wax.
Style/medium: match the references' high-detail painted-realistic dark-fantasy item rendering; aged practical materials; crisp silhouette; readable at inventory-icon size.
Composition/framing: compact wax sample with a few flakes, three-quarter presentation; fully visible; centered on a square canvas; generous transparent padding; no cropping.
Lighting/mood: restrained warm-neutral controlled light matching the references; use only a very subtle contained internal glow when the item name or material explicitly requires supernatural energy.
Constraints: genuinely transparent background with preserved alpha; exactly one item or one compact item group; no environment, pedestal, inventory frame, border, hands, characters, text, letters, numbers, logo, watermark, floating particles, large aura, excessive glow, or cast shadow outside the object; suitable for later normalization to 512×512."
1,17,mat_l01_servant_cloth,Servant Cloth,Material,Crafting Material,Common Material,GENERATE,,"Use case: stylized-concept
Asset type: production-ready dark-fantasy roguelite item sprite source master
Primary request: create the canonical Layer 1 item ""Servant Cloth"".
Input images: Images 1–4 are the game's existing item-sprite references for rendering style, tactile material detail, restrained lighting, silhouette clarity, framing, and relative object scale. They are references only; do not copy their objects.
Subject: a compact representative crafting sample of ""Servant Cloth"". Visual identity context only: Material-pouch resource for cloth repair, wraps, disguise/utility recipes, and Refuge crafting.
Layer material direction: lower-castle service decay: worn linen, blackened iron, dark wood, old brass, red sealing wax.
Style/medium: match the references' high-detail painted-realistic dark-fantasy item rendering; aged practical materials; crisp silhouette; readable at inventory-icon size.
Composition/framing: compact folded cloth bundle tied once with coarse thread; fully visible; centered on a square canvas; generous transparent padding; no cropping.
Lighting/mood: restrained warm-neutral controlled light matching the references; use only a very subtle contained internal glow when the item name or material explicitly requires supernatural energy.
Constraints: genuinely transparent background with preserved alpha; exactly one item or one compact item group; no environment, pedestal, inventory frame, border, hands, characters, text, letters, numbers, logo, watermark, floating particles, large aura, excessive glow, or cast shadow outside the object; suitable for later normalization to 512×512."
1,18,know_l01_butlers_records,Butler's Records,Knowledge,Lore / Records,Unique,REUSE_EXISTING_PROP,assets/exploration/shared/props/butlers_records.png,
1,19,know_l01_servant_ledger,Servant Ledger / Missing Men Entry,Knowledge,Lore / Mystery,Unique,GENERATE,,"Use case: stylized-concept
Asset type: production-ready dark-fantasy roguelite item sprite source master
Primary request: create the canonical Layer 1 item ""Servant Ledger / Missing Men Entry"".
Input images: Images 1–4 are the game's existing item-sprite references for rendering style, tactile material detail, restrained lighting, silhouette clarity, framing, and relative object scale. They are references only; do not copy their objects.
Subject: a physical document pickup representing ""Servant Ledger / Missing Men Entry"". Visual identity context only: Persistent knowledge entry seeding the Missing Men mystery.
Layer material direction: lower-castle service decay: worn linen, blackened iron, dark wood, old brass, red sealing wax.
Style/medium: match the references' high-detail painted-realistic dark-fantasy item rendering; aged practical materials; crisp silhouette; readable at inventory-icon size.
Composition/framing: single worn ledger or loose ledger page, angled three-quarter presentation; fully visible; centered on a square canvas; generous transparent padding; no cropping.
Lighting/mood: restrained warm-neutral controlled light matching the references; use only a very subtle contained internal glow when the item name or material explicitly requires supernatural energy.
Constraints: genuinely transparent background with preserved alpha; exactly one item or one compact item group; no environment, pedestal, inventory frame, border, hands, characters, text, letters, numbers, logo, watermark, floating particles, large aura, excessive glow, or cast shadow outside the object; suitable for later normalization to 512×512."
1,20,know_l01_wrong_prayer,Wrong Prayer / Chapel Entry,Knowledge,Lore / Faith,Unique,GENERATE,,"Use case: stylized-concept
Asset type: production-ready dark-fantasy roguelite item sprite source master
Primary request: create the canonical Layer 1 item ""Wrong Prayer / Chapel Entry"".
Input images: Images 1–4 are the game's existing item-sprite references for rendering style, tactile material detail, restrained lighting, silhouette clarity, framing, and relative object scale. They are references only; do not copy their objects.
Subject: a physical document pickup representing ""Wrong Prayer / Chapel Entry"". Visual identity context only: Persistent knowledge entry recording that the Castle remembers prayer but not mercy.
Layer material direction: lower-castle service decay: worn linen, blackened iron, dark wood, old brass, red sealing wax.
Style/medium: match the references' high-detail painted-realistic dark-fantasy item rendering; aged practical materials; crisp silhouette; readable at inventory-icon size.
Composition/framing: single worn prayer page or narrow folded prayer slip, angled presentation; fully visible; centered on a square canvas; generous transparent padding; no cropping.
Lighting/mood: restrained warm-neutral controlled light matching the references; use only a very subtle contained internal glow when the item name or material explicitly requires supernatural energy.
Constraints: genuinely transparent background with preserved alpha; exactly one item or one compact item group; no environment, pedestal, inventory frame, border, hands, characters, text, letters, numbers, logo, watermark, floating particles, large aura, excessive glow, or cast shadow outside the object; suitable for later normalization to 512×512."
2,1,l02_prisoners_poultice,Prisoner's Poultice,Active,Heal / Cleanse,Common,EXISTING_ITEM_SPRITE,assets/items/layer_2/prisoners_poultice.png,
2,2,l02_rusted_nail_bundle,Rusted Nail Bundle,Active,Offensive Throwable,Common,EXISTING_ITEM_SPRITE,assets/items/layer_2/rusted_nail_bundle.png,
