type,category,stable_id,source_filename,archive_path
room,Layer_2,l02_room_punishment_mechanism_room,AB_ROOM_ANIM4__l02_room_punishment_mechanism_room_00001_.png,Rooms/Layer_2/l02_room_punishment_mechanism_room.png
room,Layer_1,l01_room_bell_pull_gallery,AB_ROOM_ANIM4__l01_room_bell_pull_gallery_00001_.png,Rooms/Layer_1/l01_room_bell_pull_gallery.png
room,Layer_1,l01_room_blood_nun_processing_chapel,AB_ROOM_ANIM4__l01_room_blood_nun_processing_chapel_00001_.png,Rooms/Layer_1/l01_room_blood_nun_processing_chapel.png
room,Layer_1,l01_room_dining_service_hall,AB_ROOM_ANIM4__l01_room_dining_service_hall_00001_.png,Rooms/Layer_1/l01_room_dining_service_hall.png
room,Layer_1,l01_room_dishwashing_hall,AB_ROOM_ANIM4__l01_room_dishwashing_hall_00001_.png,Rooms/Layer_1/l01_room_dishwashing_hall.png
room,Layer_1,l01_room_laundry_boiler_room,AB_ROOM_ANIM4__l01_room_laundry_boiler_room_00001_.png,Rooms/Layer_1/l01_room_laundry_boiler_room.png
room,Layer_1,l01_room_linen_sorting_room,AB_ROOM_ANIM4__l01_room_linen_sorting_room_00001_.png,Rooms/Layer_1/l01_room_linen_sorting_room.png
room,Layer_1,l01_room_lower_kitchen,AB_ROOM_ANIM4__l01_room_lower_kitchen_00001_.png,Rooms/Layer_1/l01_room_lower_kitchen.png
room,Layer_1,l01_room_opening_servant_corridor,AB_ROOM_ANIM4__l01_room_opening_servant_corridor_00001_.png,Rooms/Layer_1/l01_room_opening_servant_corridor.png
room,Layer_1,l01_room_ruined_chapel,AB_ROOM_ANIM4__l01_room_ruined_chapel_00001_.png,Rooms/Layer_1/l01_room_ruined_chapel.png
room,Layer_1,l01_room_service_stair_landing,AB_ROOM_ANIM4__l01_room_service_stair_landing_00001_.png,Rooms/Layer_1/l01_room_service_stair_landing.png
room,Layer_1,l01_room_sorting_vestibule,AB_ROOM_ANIM4__l01_room_sorting_vestibule_00001_.png,Rooms/Layer_1/l01_room_sorting_vestibule.png
room,Layer_1,l01_room_wax_preparation_room,AB_ROOM_ANIM4__l01_room_wax_preparation_room_00001_.png,Rooms/Layer_1/l01_room_wax_preparation_room.png
room,Layer_2,l02_room_communal_prison_hall,AB_ROOM_ANIM4__l02_room_communal_prison_hall_00001_.png,Rooms/Layer_2/l02_room_communal_prison_hall.png
room,Layer_2,l02_room_drainage_passage,AB_ROOM_ANIM4__l02_room_drainage_passage_00001_.png,Rooms/Layer_2/l02_room_drainage_passage.png
room,Layer_2,l02_room_empty_mens_cell,AB_ROOM_ANIM4__l02_room_empty_mens_cell_00001_.png,Rooms/Layer_2/l02_room_empty_mens_cell.png
room,Layer_2,l02_room_jailers_containment_hall,AB_ROOM_ANIM4__l02_room_jailers_containment_hall_00001_.png,Rooms/Layer_2/l02_room_jailers_containment_hall.png
room,Layer_2,l02_room_jailers_gate_hall,AB_ROOM_ANIM4__l02_room_jailers_gate_hall_00001_.png,Rooms/Layer_2/l02_room_jailers_gate_hall.png
room,Layer_2,l02_room_polished_shackle_gallery,AB_ROOM_ANIM4__l02_room_polished_shackle_gallery_00001_.png,Rooms/Layer_2/l02_room_polished_shackle_gallery.png
room,Layer_2,l02_room_prison_infirmary,AB_ROOM_ANIM4__l02_room_prison_infirmary_00001_.png,Rooms/Layer_2/l02_room_prison_infirmary.png
prop,Experimental_Foreground/Layer_1,l01_fg_curtain_burgundy_tattered,AB_PROP_ANIM4__l01_fg_curtain_burgundy_tattered_00001_.png,Props/Experimental_Foreground/Layer_1/l01_fg_curtain_burgundy_tattered.png
prop,Experimental_Foreground/Layer_1,l01_fg_linen_pale_tattered,AB_PROP_ANIM4__l01_fg_linen_pale_tattered_00001_.png,Props/Experimental_Foreground/Layer_1/l01_fg_linen_pale_tattered.png
prop,Core_Shared/Layer_1,l01_prop_cart_linen,AB_PROP_ANIM4__l01_prop_cart_linen_00001_.png,Props/Core_Shared/Layer_1/l01_prop_cart_linen.png
